xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx || x || x
0000000011100111000000000000000000000000000000001110011100000000 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx || 1 || x
0000000011100111000000000000000000000000000000001110011100000000 0000000011100111000000000000000000000000000000001110011100000000 || 0 || x
0000000011100111000000000000000000000000000000001110011100000000 0000000111001110000000000000000000000000000000011100111000000000 || 0 || x
0000000011100111000000000000000000000000000000001110011100000000 0000001110011100000000000000000000000000000000111001110000000000 || 0 || x
0000000011100111000000000000000000000000000000001110011100000000 0000011100111000000000000000000000000000000001110011100000000000 || 0 || x
0000000011100111000000000000000000000000000000001110011100000000 0000111001110000000000000000000000000000000011100111000000000000 || 0 || x
0000000011100111000000000000000000000000000000001110011100000000 0001110011100000000000000000000000000000000111001110000000000001 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0011100111000000000000000000000000000000001110011100000000000010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0111001110000000000000000000000000000000011100111000000000000100 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1110011100000000000000000000000000000000111001110000000000001000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1100111000000000000000000000000000000001110011100000000000010000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1001110000000000000000000000000000000011100111000000000000100001 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0011100000000000000000000000000000000111001110000000000001000011 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0111000000000000000000000000000000001110011100000000000010000110 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1110000000000000000000000000000000011100111000000000000100001100 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1100000000000000000000000000000000111001110000000000001000011000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1000000000000000000000000000000001110011100000000000010000110000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000000000000011100111000000000000100001100001 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000000000000111001110000000000001000011000010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000000000001110011100000000000010000110000100 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000000000011100111000000000000100001100001000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0000000000000000000000000000111001110000000000001000011000010000 || 0 || 1
